File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_EVI_doy2010001000000_aid0001,_1_km_monthly_EVI,aid0001,2010-01-01,219.0,0.2754,0.5978,"(0.2754,0.5978)",0.4485096,0.0841708,0.0070847,0.5216,0.5978,0.4665,0.2754,0.378
MOD13A3_061__1_km_monthly_EVI_doy2010032000000_aid0001,_1_km_monthly_EVI,aid0001,2010-02-01,219.0,0.2288,0.6375,"(0.2288,0.6375)",0.424505,0.1033878,0.010689,0.4982,0.6375,0.4327,0.2288,0.33885
MOD13A3_061__1_km_monthly_EVI_doy2010060000000_aid0001,_1_km_monthly_EVI,aid0001,2010-03-01,219.0,0.2327,0.7238,"(0.2327,0.7238)",0.4734292,0.1151067,0.0132495,0.5549,0.7238,0.4738,0.2327,0.3721
MOD13A3_061__1_km_monthly_EVI_doy2010091000000_aid0001,_1_km_monthly_EVI,aid0001,2010-04-01,219.0,0.2775,0.6611,"(0.2775,0.6611)",0.4742489,0.1049849,0.0110218,0.56465,0.6611,0.4902,0.2775,0.37675
MOD13A3_061__1_km_monthly_EVI_doy2010121000000_aid0001,_1_km_monthly_EVI,aid0001,2010-05-01,219.0,0.1883,0.6921,"(0.1883,0.6921)",0.4950753,0.0843254,0.0071108,0.56535,0.6921,0.4915,0.2789,0.4423
MOD13A3_061__1_km_monthly_EVI_doy2010152000000_aid0001,_1_km_monthly_EVI,aid0001,2010-06-01,219.0,0.1988,0.6513,"(0.1988,0.6513)",0.4552941,0.0934372,0.0087305,0.5242,0.6513,0.4465,0.205,0.39485
MOD13A3_061__1_km_monthly_EVI_doy2010182000000_aid0001,_1_km_monthly_EVI,aid0001,2010-07-01,219.0,0.2363,0.6301,"(0.2363,0.6301)",0.461737,0.0815955,0.0066578,0.52925,0.6301,0.4594,0.2363,0.40245
MOD13A3_061__1_km_monthly_EVI_doy2010213000000_aid0001,_1_km_monthly_EVI,aid0001,2010-08-01,219.0,0.2669,0.6024,"(0.2669,0.6024)",0.4432836,0.0709187,0.0050295,0.50335,0.6024,0.4538,0.2669,0.38095
MOD13A3_061__1_km_monthly_EVI_doy2010244000000_aid0001,_1_km_monthly_EVI,aid0001,2010-09-01,219.0,0.2461,0.5367,"(0.2461,0.5367)",0.4142982,0.0924172,0.0085409,0.4831,0.5367,0.46,0.2461,0.3098
MOD13A3_061__1_km_monthly_EVI_doy2010274000000_aid0001,_1_km_monthly_EVI,aid0001,2010-10-01,219.0,0.2051,0.6239,"(0.2051,0.6239)",0.4039205,0.0961347,0.0092419,0.48785,0.6239,0.3866,0.2051,0.3289
MOD13A3_061__1_km_monthly_EVI_doy2010305000000_aid0001,_1_km_monthly_EVI,aid0001,2010-11-01,219.0,0.0628,0.5954,"(0.0628,0.5954)",0.3113534,0.1444983,0.0208797,0.41365,0.5954,0.3248,0.0628,0.1958
MOD13A3_061__1_km_monthly_EVI_doy2010335000000_aid0001,_1_km_monthly_EVI,aid0001,2010-12-01,219.0,0.0605,0.5954,"(0.0605,0.5954)",0.3647781,0.1208891,0.0146142,0.4491,0.5954,0.381,0.0952,0.3075
