File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_EVI_doy2010001000000_aid0001,_1_km_monthly_EVI,aid0001,2010-01-01,314.0,0.2722,0.5586,"(0.2722,0.5586)",0.4188994,0.0383586,0.0014714,0.44465,0.5172,0.421,0.3202,0.392775
MOD13A3_061__1_km_monthly_EVI_doy2010032000000_aid0001,_1_km_monthly_EVI,aid0001,2010-02-01,314.0,0.3284,0.5522,"(0.3284,0.5522)",0.4592178,0.0432574,0.0018712,0.495475,0.5522,0.4636,0.3565,0.429225
MOD13A3_061__1_km_monthly_EVI_doy2010060000000_aid0001,_1_km_monthly_EVI,aid0001,2010-03-01,314.0,0.2964,0.5903,"(0.2964,0.5903)",0.4322366,0.045074,0.0020317,0.461875,0.5473,0.42675,0.3161,0.40285
MOD13A3_061__1_km_monthly_EVI_doy2010091000000_aid0001,_1_km_monthly_EVI,aid0001,2010-04-01,314.0,0.3018,0.6023,"(0.3018,0.6023)",0.4704232,0.0449313,0.0020188,0.502775,0.5776,0.47315,0.3739,0.4505
MOD13A3_061__1_km_monthly_EVI_doy2010121000000_aid0001,_1_km_monthly_EVI,aid0001,2010-05-01,314.0,0.2083,0.6224,"(0.2083,0.6224)",0.4801748,0.0697219,0.0048611,0.5257,0.6224,0.49935,0.3668,0.460225
MOD13A3_061__1_km_monthly_EVI_doy2010152000000_aid0001,_1_km_monthly_EVI,aid0001,2010-06-01,314.0,0.2319,0.5952,"(0.2319,0.5952)",0.4553169,0.0613448,0.0037632,0.4956,0.5443,0.47585,0.3535,0.438325
MOD13A3_061__1_km_monthly_EVI_doy2010182000000_aid0001,_1_km_monthly_EVI,aid0001,2010-07-01,314.0,0.2057,0.5879,"(0.2057,0.5879)",0.4706029,0.0586101,0.0034351,0.506175,0.5879,0.47535,0.37,0.44895
MOD13A3_061__1_km_monthly_EVI_doy2010213000000_aid0001,_1_km_monthly_EVI,aid0001,2010-08-01,314.0,0.2084,0.5825,"(0.2084,0.5825)",0.4810032,0.0428814,0.0018388,0.506075,0.5601,0.4859,0.4038,0.46415
MOD13A3_061__1_km_monthly_EVI_doy2010244000000_aid0001,_1_km_monthly_EVI,aid0001,2010-09-01,314.0,0.1394,0.6051,"(0.1394,0.6051)",0.4976347,0.0620225,0.0038468,0.534325,0.6051,0.51095,0.4168,0.481675
MOD13A3_061__1_km_monthly_EVI_doy2010274000000_aid0001,_1_km_monthly_EVI,aid0001,2010-10-01,314.0,0.1105,0.5757,"(0.1105,0.5757)",0.4817258,0.0656855,0.0043146,0.520575,0.5757,0.49795,0.3951,0.46545
MOD13A3_061__1_km_monthly_EVI_doy2010305000000_aid0001,_1_km_monthly_EVI,aid0001,2010-11-01,314.0,0.0555,0.5976,"(0.0555,0.5976)",0.4214032,0.0849629,0.0072187,0.4743,0.5362,0.44715,0.2845,0.39765
MOD13A3_061__1_km_monthly_EVI_doy2010335000000_aid0001,_1_km_monthly_EVI,aid0001,2010-12-01,314.0,0.1003,0.5747,"(0.1003,0.5747)",0.4371857,0.0689298,0.0047513,0.47905,0.5531,0.45775,0.3415,0.4206
MOD13A3_061__1_km_monthly_EVI_doy2011001000000_aid0001,_1_km_monthly_EVI,aid0001,2011-01-01,314.0,0.2658,0.5116,"(0.2658,0.5116)",0.4376841,0.0415084,0.0017229,0.4636,0.5116,0.4456,0.3601,0.421175
MOD13A3_061__1_km_monthly_EVI_doy2011032000000_aid0001,_1_km_monthly_EVI,aid0001,2011-02-01,314.0,0.3214,0.5494,"(0.3214,0.5494)",0.4480873,0.0475421,0.0022602,0.4854,0.5494,0.4526,0.3214,0.41675
MOD13A3_061__1_km_monthly_EVI_doy2011060000000_aid0001,_1_km_monthly_EVI,aid0001,2011-03-01,314.0,0.3302,0.6153,"(0.3302,0.6153)",0.499742,0.0484654,0.0023489,0.53655,0.6153,0.49925,0.3774,0.4705
MOD13A3_061__1_km_monthly_EVI_doy2011091000000_aid0001,_1_km_monthly_EVI,aid0001,2011-04-01,314.0,0.3271,0.6123,"(0.3271,0.6123)",0.5064404,0.0425935,0.0018142,0.53585,0.6123,0.50965,0.3953,0.4779
MOD13A3_061__1_km_monthly_EVI_doy2011121000000_aid0001,_1_km_monthly_EVI,aid0001,2011-05-01,314.0,0.3027,0.6077,"(0.3027,0.6077)",0.5024576,0.0456539,0.0020843,0.534375,0.6077,0.51165,0.3991,0.4797
MOD13A3_061__1_km_monthly_EVI_doy2011152000000_aid0001,_1_km_monthly_EVI,aid0001,2011-06-01,314.0,0.2321,0.6339,"(0.2321,0.6339)",0.5042131,0.0700547,0.0049077,0.54365,0.6339,0.5178,0.3932,0.483425
MOD13A3_061__1_km_monthly_EVI_doy2011182000000_aid0001,_1_km_monthly_EVI,aid0001,2011-07-01,314.0,0.108,0.5887,"(0.108,0.5887)",0.4856455,0.0508573,0.0025865,0.52035,0.5887,0.48965,0.3708,0.459625
MOD13A3_061__1_km_monthly_EVI_doy2011213000000_aid0001,_1_km_monthly_EVI,aid0001,2011-08-01,314.0,0.31,0.5704,"(0.31,0.5704)",0.4745376,0.040532,0.0016428,0.4998,0.5704,0.47405,0.38,0.44685
MOD13A3_061__1_km_monthly_EVI_doy2011244000000_aid0001,_1_km_monthly_EVI,aid0001,2011-09-01,314.0,0.1594,0.6253,"(0.1594,0.6253)",0.4994312,0.0662602,0.0043904,0.5489,0.6253,0.5081,0.3803,0.4744
MOD13A3_061__1_km_monthly_EVI_doy2011274000000_aid0001,_1_km_monthly_EVI,aid0001,2011-10-01,314.0,0.0877,0.5879,"(0.0877,0.5879)",0.5129809,0.0731128,0.0053455,0.551275,0.5879,0.53645,0.4248,0.49935
MOD13A3_061__1_km_monthly_EVI_doy2011305000000_aid0001,_1_km_monthly_EVI,aid0001,2011-11-01,314.0,0.085,0.6012,"(0.085,0.6012)",0.4417755,0.084121,0.0070763,0.4952,0.6012,0.46525,0.306,0.4181
MOD13A3_061__1_km_monthly_EVI_doy2011335000000_aid0001,_1_km_monthly_EVI,aid0001,2011-12-01,314.0,0.2312,0.5555,"(0.2312,0.5555)",0.4367955,0.0431031,0.0018579,0.462025,0.5188,0.4411,0.3572,0.419525
MOD13A3_061__1_km_monthly_EVI_doy2012001000000_aid0001,_1_km_monthly_EVI,aid0001,2012-01-01,314.0,0.3089,0.5403,"(0.3089,0.5403)",0.4587041,0.0310323,0.000963,0.478225,0.5321,0.45755,0.3875,0.44165
MOD13A3_061__1_km_monthly_EVI_doy2012032000000_aid0001,_1_km_monthly_EVI,aid0001,2012-02-01,302.0,0.3063,0.5908,"(0.3063,0.5908)",0.4768868,0.051704,0.0026733,0.514325,0.5908,0.4687,0.3552,0.44775
MOD13A3_061__1_km_monthly_EVI_doy2012061000000_aid0001,_1_km_monthly_EVI,aid0001,2012-03-01,314.0,0.2937,0.5607,"(0.2937,0.5607)",0.446393,0.0410813,0.0016877,0.4713,0.5377,0.44755,0.3566,0.42515
MOD13A3_061__1_km_monthly_EVI_doy2012092000000_aid0001,_1_km_monthly_EVI,aid0001,2012-04-01,314.0,0.1066,0.5678,"(0.1066,0.5678)",0.4630137,0.0594083,0.0035293,0.4974,0.5678,0.4763,0.3784,0.44715
MOD13A3_061__1_km_monthly_EVI_doy2012122000000_aid0001,_1_km_monthly_EVI,aid0001,2012-05-01,314.0,0.3178,0.5556,"(0.3178,0.5556)",0.4935879,0.0380212,0.0014456,0.52295,0.5556,0.5013,0.4051,0.4726
MOD13A3_061__1_km_monthly_EVI_doy2012153000000_aid0001,_1_km_monthly_EVI,aid0001,2012-06-01,314.0,0.3515,0.5472,"(0.3515,0.5472)",0.4712672,0.0310407,0.0009635,0.493925,0.5472,0.47345,0.3973,0.4526
MOD13A3_061__1_km_monthly_EVI_doy2012183000000_aid0001,_1_km_monthly_EVI,aid0001,2012-07-01,314.0,0.266,0.6207,"(0.266,0.6207)",0.4928838,0.0586801,0.0034434,0.52765,0.6109,0.50635,0.392,0.47215
MOD13A3_061__1_km_monthly_EVI_doy2012214000000_aid0001,_1_km_monthly_EVI,aid0001,2012-08-01,314.0,0.2613,0.6082,"(0.2613,0.6082)",0.4896685,0.0622076,0.0038698,0.5382,0.6082,0.4995,0.3588,0.465825
MOD13A3_061__1_km_monthly_EVI_doy2012245000000_aid0001,_1_km_monthly_EVI,aid0001,2012-09-01,314.0,0.2993,0.5873,"(0.2993,0.5873)",0.485579,0.0589701,0.0034775,0.53075,0.5873,0.4972,0.3478,0.45735
MOD13A3_061__1_km_monthly_EVI_doy2012275000000_aid0001,_1_km_monthly_EVI,aid0001,2012-10-01,314.0,0.3451,0.574,"(0.3451,0.574)",0.4745949,0.0427706,0.0018293,0.505575,0.574,0.48505,0.3623,0.44555
MOD13A3_061__1_km_monthly_EVI_doy2012306000000_aid0001,_1_km_monthly_EVI,aid0001,2012-11-01,314.0,0.1751,0.5719,"(0.1751,0.5719)",0.4662755,0.0439169,0.0019287,0.49405,0.561,0.46835,0.3773,0.4472
MOD13A3_061__1_km_monthly_EVI_doy2012336000000_aid0001,_1_km_monthly_EVI,aid0001,2012-12-01,314.0,0.2996,0.5918,"(0.2996,0.5918)",0.4598984,0.0486988,0.0023716,0.497275,0.5918,0.4586,0.3425,0.43145
MOD13A3_061__1_km_monthly_EVI_doy2013001000000_aid0001,_1_km_monthly_EVI,aid0001,2013-01-01,314.0,0.2522,0.5569,"(0.2522,0.5569)",0.4179404,0.044378,0.0019694,0.447225,0.523,0.4191,0.3173,0.38665
MOD13A3_061__1_km_monthly_EVI_doy2013032000000_aid0001,_1_km_monthly_EVI,aid0001,2013-02-01,314.0,0.2276,0.5597,"(0.2276,0.5597)",0.3986844,0.0459921,0.0021153,0.4267,0.504,0.3974,0.274,0.364575
MOD13A3_061__1_km_monthly_EVI_doy2013060000000_aid0001,_1_km_monthly_EVI,aid0001,2013-03-01,314.0,0.2478,0.5667,"(0.2478,0.5667)",0.4343312,0.0483737,0.00234,0.464525,0.5543,0.43265,0.3191,0.400325
MOD13A3_061__1_km_monthly_EVI_doy2013091000000_aid0001,_1_km_monthly_EVI,aid0001,2013-04-01,314.0,0.2945,0.6058,"(0.2945,0.6058)",0.4887777,0.0453896,0.0020602,0.520125,0.5851,0.49235,0.3844,0.46315
MOD13A3_061__1_km_monthly_EVI_doy2013121000000_aid0001,_1_km_monthly_EVI,aid0001,2013-05-01,314.0,0.1313,0.6161,"(0.1313,0.6161)",0.4876503,0.0673592,0.0045373,0.5235,0.5936,0.49955,0.4066,0.47355
MOD13A3_061__1_km_monthly_EVI_doy2013152000000_aid0001,_1_km_monthly_EVI,aid0001,2013-06-01,314.0,0.3085,0.5924,"(0.3085,0.5924)",0.5134207,0.055374,0.0030663,0.5521,0.5924,0.52655,0.3865,0.485175
MOD13A3_061__1_km_monthly_EVI_doy2013182000000_aid0001,_1_km_monthly_EVI,aid0001,2013-07-01,314.0,0.3356,0.5836,"(0.3356,0.5836)",0.5175994,0.0481477,0.0023182,0.554225,0.5836,0.5328,0.3914,0.48755
MOD13A3_061__1_km_monthly_EVI_doy2013213000000_aid0001,_1_km_monthly_EVI,aid0001,2013-08-01,314.0,0.3147,0.5715,"(0.3147,0.5715)",0.4683156,0.0478966,0.0022941,0.501375,0.5715,0.48225,0.362,0.445525
MOD13A3_061__1_km_monthly_EVI_doy2013244000000_aid0001,_1_km_monthly_EVI,aid0001,2013-09-01,314.0,0.2799,0.6008,"(0.2799,0.6008)",0.512142,0.0650241,0.0042281,0.556025,0.6008,0.5321,0.4205,0.499175
MOD13A3_061__1_km_monthly_EVI_doy2013274000000_aid0001,_1_km_monthly_EVI,aid0001,2013-10-01,314.0,0.2976,0.5526,"(0.2976,0.5526)",0.4563761,0.0412452,0.0017012,0.4854,0.5526,0.46005,0.3819,0.4384
MOD13A3_061__1_km_monthly_EVI_doy2013305000000_aid0001,_1_km_monthly_EVI,aid0001,2013-11-01,314.0,0.0791,0.572,"(0.0791,0.572)",0.469129,0.0919869,0.0084616,0.522275,0.572,0.4948,0.3839,0.464575
MOD13A3_061__1_km_monthly_EVI_doy2013335000000_aid0001,_1_km_monthly_EVI,aid0001,2013-12-01,314.0,0.287,0.5756,"(0.287,0.5756)",0.4672395,0.0644029,0.0041477,0.509775,0.5756,0.47635,0.3414,0.440525
MOD13A3_061__1_km_monthly_EVI_doy2014001000000_aid0001,_1_km_monthly_EVI,aid0001,2014-01-01,314.0,0.318,0.558,"(0.318,0.558)",0.4784981,0.034302,0.0011766,0.50425,0.558,0.47695,0.4061,0.4587
MOD13A3_061__1_km_monthly_EVI_doy2014032000000_aid0001,_1_km_monthly_EVI,aid0001,2014-02-01,314.0,0.2767,0.5867,"(0.2767,0.5867)",0.4551646,0.0496887,0.002469,0.4908,0.5867,0.4614,0.3299,0.425225
MOD13A3_061__1_km_monthly_EVI_doy2014060000000_aid0001,_1_km_monthly_EVI,aid0001,2014-03-01,314.0,0.1858,0.6195,"(0.1858,0.6195)",0.4741115,0.0705927,0.0049833,0.5226,0.6195,0.4865,0.307,0.434725
MOD13A3_061__1_km_monthly_EVI_doy2014091000000_aid0001,_1_km_monthly_EVI,aid0001,2014-04-01,314.0,0.2197,0.5686,"(0.2197,0.5686)",0.4583373,0.0492779,0.0024283,0.489875,0.5686,0.464,0.3543,0.43295
MOD13A3_061__1_km_monthly_EVI_doy2014121000000_aid0001,_1_km_monthly_EVI,aid0001,2014-05-01,314.0,0.3166,0.5703,"(0.3166,0.5703)",0.4660771,0.0587538,0.003452,0.5058,0.5703,0.4847,0.3276,0.43445
